datetime,CDD,CWD,Prcp1,SDII,,,year,month
1967-02-28,6.0,3.0,46.42857142857143,5.646923076923077,1967,Feb,1967,Feb
1967-03-31,7.0,2.0,16.129032258064516,3.442,1967,Mar,1967,Mar
1967-04-30,8.0,4.0,33.33333333333333,7.433,1967,Apr,1967,Apr
1967-05-31,11.0,5.0,35.483870967741936,5.774545454545454,1967,May,1967,May
1967-06-30,6.0,4.0,33.33333333333333,12.448000000000002,1967,Jun,1967,Jun
1967-07-31,7.0,2.0,25.806451612903224,8.7775,1967,Jul,1967,Jul
1967-08-31,6.0,2.0,32.25806451612903,7.936,1967,Aug,1967,Aug
1967-09-30,11.0,3.0,33.33333333333333,6.052,1967,Sep,1967,Sep
1967-10-31,5.0,4.0,35.483870967741936,6.863636363636363,1967,Oct,1967,Oct
1967-11-30,6.0,5.0,50.0,6.591333333333335,1967,Nov,1967,Nov
1967-12-31,5.0,2.0,35.483870967741936,9.67909090909091,1967,Dec,1967,Dec
1968-01-31,6.0,3.0,38.70967741935484,4.883333333333334,1968,Jan,1968,Jan
1968-02-29,5.0,3.0,44.827586206896555,3.427692307692307,1968,Feb,1968,Feb
1968-03-31,11.0,5.0,35.483870967741936,8.544545454545455,1968,Mar,1968,Mar
1968-04-30,19.0,3.0,16.666666666666664,12.468,1968,Apr,1968,Apr
1968-05-31,8.0,6.0,29.03225806451613,5.963333333333334,1968,May,1968,May
1968-06-30,4.0,3.0,46.666666666666664,6.512142857142856,1968,Jun,1968,Jun
1968-07-31,6.0,2.0,35.483870967741936,4.565454545454545,1968,Jul,1968,Jul
1968-08-31,7.0,2.0,25.806451612903224,8.686250000000001,1968,Aug,1968,Aug
1968-09-30,8.0,3.0,26.666666666666668,8.18125,1968,Sep,1968,Sep
1968-10-31,8.0,3.0,32.25806451612903,7.061,1968,Oct,1968,Oct
1968-11-30,5.0,4.0,46.666666666666664,8.517857142857144,1968,Nov,1968,Nov
1968-12-31,7.0,3.0,48.38709677419355,9.402666666666667,1968,Dec,1968,Dec
1969-01-31,5.0,5.0,38.70967741935484,7.915,1969,Jan,1969,Jan
1969-02-28,8.0,3.0,28.57142857142857,4.0112499999999995,1969,Feb,1969,Feb
1969-03-31,10.0,3.0,32.25806451612903,5.401000000000001,1969,Mar,1969,Mar
1969-04-30,5.0,2.0,33.33333333333333,10.818000000000001,1969,Apr,1969,Apr
1969-05-31,6.0,6.0,48.38709677419355,6.715333333333333,1969,May,1969,May
1969-06-30,7.0,2.0,43.333333333333336,9.557692307692308,1969,Jun,1969,Jun
1969-07-31,10.0,4.0,35.483870967741936,5.814545454545455,1969,Jul,1969,Jul
1969-08-31,8.0,3.0,29.03225806451613,10.448888888888888,1969,Aug,1969,Aug
1969-09-30,6.0,3.0,31.03448275862069,7.593333333333334,1969,Sep,1969,Sep
1969-10-31,6.0,4.0,38.70967741935484,5.091666666666666,1969,Oct,1969,Oct
1969-11-30,4.0,7.0,53.333333333333336,7.401875,1969,Nov,1969,Nov
1969-12-31,6.0,3.0,35.483870967741936,12.608181818181821,1969,Dec,1969,Dec
1970-01-31,6.0,2.0,29.03225806451613,3.7666666666666666,1970,Jan,1970,Jan
1970-02-28,5.0,3.0,46.42857142857143,4.589230769230769,1970,Feb,1970,Feb
1970-03-31,5.0,5.0,45.16129032258064,4.014285714285714,1970,Mar,1970,Mar
1970-04-30,11.0,3.0,23.333333333333332,10.135714285714286,1970,Apr,1970,Apr
1970-05-31,5.0,2.0,32.25806451612903,5.608,1970,May,1970,May
1970-06-30,11.0,2.0,26.666666666666668,6.45125,1970,Jun,1970,Jun
1970-07-31,7.0,3.0,29.03225806451613,6.415555555555557,1970,Jul,1970,Jul
1970-08-31,7.0,2.0,30.0,6.067777777777778,1970,Aug,1970,Aug
1970-09-30,5.0,3.0,40.0,10.259166666666667,1970,Sep,1970,Sep
1970-10-31,8.0,3.0,29.03225806451613,9.742222222222223,1970,Oct,1970,Oct
1970-11-30,9.0,7.0,50.0,5.709333333333333,1970,Nov,1970,Nov
1970-12-31,3.0,5.0,51.61290322580645,8.6925,1970,Dec,1970,Dec
1971-01-31,4.0,5.0,51.61290322580645,5.82,1971,Jan,1971,Jan
1971-02-28,4.0,3.0,46.42857142857143,12.586153846153847,1971,Feb,1971,Feb
1971-03-31,8.0,3.0,30.0,5.156666666666667,1971,Mar,1971,Mar
1971-04-30,4.0,3.0,43.333333333333336,3.9446153846153846,1971,Apr,1971,Apr
1971-05-31,7.0,3.0,29.03225806451613,4.704444444444444,1971,May,1971,May
1971-06-30,8.0,2.0,26.666666666666668,6.3725,1971,Jun,1971,Jun
1971-07-31,6.0,1.0,22.58064516129032,8.412857142857144,1971,Jul,1971,Jul
1971-08-31,5.0,2.0,32.25806451612903,10.92,1971,Aug,1971,Aug
1971-09-30,5.0,4.0,36.666666666666664,7.4290909090909105,1971,Sep,1971,Sep
1971-10-31,10.0,3.0,22.58064516129032,5.74,1971,Oct,1971,Oct
1971-11-30,6.0,4.0,46.666666666666664,5.215000000000001,1971,Nov,1971,Nov
1971-12-31,3.0,5.0,51.61290322580645,6.515625,1971,Dec,1971,Dec
1972-01-31,4.0,6.0,41.935483870967744,4.3053846153846145,1972,Jan,1972,Jan
1972-02-29,7.0,6.0,51.724137931034484,7.950000000000001,1972,Feb,1972,Feb
1972-03-31,8.0,3.0,35.483870967741936,11.003636363636364,1972,Mar,1972,Mar
1972-04-30,7.0,3.0,30.0,6.99,1972,Apr,1972,Apr
1972-05-31,11.0,5.0,32.25806451612903,7.2379999999999995,1972,May,1972,May
1972-06-30,4.0,7.0,46.666666666666664,10.197142857142856,1972,Jun,1972,Jun
1972-07-31,6.0,6.0,48.38709677419355,10.993333333333332,1972,Jul,1972,Jul
1972-08-31,4.0,4.0,41.935483870967744,10.286153846153844,1972,Aug,1972,Aug
1972-09-30,7.0,2.0,23.333333333333332,9.794285714285715,1972,Sep,1972,Sep
1972-10-31,5.0,4.0,41.935483870967744,6.862307692307693,1972,Oct,1972,Oct
1972-11-30,6.0,4.0,40.0,8.795,1972,Nov,1972,Nov
1972-12-31,2.0,4.0,67.74193548387096,9.645238095238094,1972,Dec,1972,Dec
1973-01-31,8.0,3.0,38.70967741935484,6.578333333333333,1973,Jan,1973,Jan
1973-02-28,6.0,2.0,28.57142857142857,9.649999999999999,1973,Feb,1973,Feb
1973-03-31,9.0,4.0,41.935483870967744,8.05076923076923,1973,Mar,1973,Mar
1973-04-30,9.0,5.0,40.0,6.996666666666666,1973,Apr,1973,Apr
1973-05-31,6.0,5.0,54.83870967741935,7.563529411764707,1973,May,1973,May
1973-06-30,7.0,3.0,36.666666666666664,8.942727272727272,1973,Jun,1973,Jun
1973-07-31,9.0,3.0,22.58064516129032,11.384285714285715,1973,Jul,1973,Jul
1973-08-31,9.0,2.0,22.58064516129032,13.182857142857143,1973,Aug,1973,Aug
