latitude,longitude,t2m
90.0,267.5,271.9371
90.0,268.75,271.9371
90.0,270.0,271.9371
90.0,271.25,271.9371
90.0,272.5,271.9371
90.0,273.75,271.9371
90.0,275.0,271.9371
90.0,276.25,271.9371
90.0,277.5,271.9371
90.0,278.75,271.9371
90.0,280.0,271.9371
90.0,281.25,271.9371
90.0,282.5,271.9371
90.0,283.75,271.9371
90.0,285.0,271.9371
90.0,286.25,271.9371
90.0,287.5,271.9371
90.0,288.75,271.9371
90.0,290.0,271.9371
90.0,291.25,271.9371
90.0,292.5,271.9371
90.0,293.75,271.9371
90.0,295.0,271.9371
90.0,296.25,271.9371
90.0,297.5,271.9371
90.0,298.75,271.9371
90.0,300.0,271.9371
90.0,301.25,271.9371
90.0,302.5,271.9371
90.0,303.75,271.9371
90.0,305.0,271.9371
90.0,306.25,271.9371
90.0,307.5,271.9371
90.0,308.75,271.9371
90.0,310.0,271.9371
90.0,311.25,271.9371
90.0,312.5,271.9371
90.0,313.75,271.9371
90.0,315.0,271.9371
90.0,316.25,271.9371
90.0,317.5,271.9371
90.0,318.75,271.9371
90.0,320.0,271.9371
90.0,321.25,271.9371
90.0,322.5,271.9371
90.0,323.75,271.9371
90.0,325.0,271.9371
90.0,326.25,271.9371
90.0,327.5,271.9371
90.0,328.75,271.9371
90.0,330.0,271.9371
90.0,331.25,271.9371
90.0,332.5,271.9371
90.0,333.75,271.9371
90.0,335.0,271.9371
90.0,336.25,271.9371
90.0,337.5,271.9371
90.0,338.75,271.9371
90.0,340.0,271.9371
90.0,341.25,271.9371
90.0,342.5,271.9371
90.0,343.75,271.9371
90.0,345.0,271.9371
90.0,346.25,271.9371
90.0,347.5,271.9371
90.0,348.75,271.9371
90.0,350.0,271.9371
90.0,351.25,271.9371
90.0,352.5,271.9371
90.0,353.75,271.9371
90.0,355.0,271.9371
90.0,356.25,271.9371
90.0,357.5,271.9371
90.0,358.75,271.9371
88.75,0.0,271.82516
88.75,1.25,271.8289
88.75,2.5,271.83258
88.75,3.75,271.83624
88.75,5.0,271.83997
88.75,6.25,271.84357
88.75,7.5,271.84732
88.75,8.75,271.85098
88.75,10.0,271.85474
88.75,11.25,271.85828
88.75,12.5,271.8621
88.75,13.75,271.8657
88.75,15.0,271.8698
88.75,16.25,271.8741
88.75,17.5,271.87857
88.75,18.75,271.88293
88.75,20.0,271.8873
88.75,21.25,271.89096
88.75,22.5,271.89435
88.75,23.75,271.89804
88.75,25.0,271.90155
88.75,26.25,271.90524
88.75,27.5,271.90872
88.75,28.75,271.91232
88.75,30.0,271.91617
88.75,31.25,271.92
88.75,32.5,271.9238
88.75,33.75,271.9277
88.75,35.0,271.93164
88.75,36.25,271.93546
88.75,37.5,271.93945
88.75,38.75,271.94305
88.75,40.0,271.94705
88.75,41.25,271.9504
88.75,42.5,271.95358
88.75,43.75,271.9567
88.75,45.0,271.959
88.75,46.25,271.96173
88.75,47.5,271.96423
88.75,48.75,271.9668
88.75,50.0,271.9693
88.75,51.25,271.9717
88.75,52.5,271.9742
88.75,53.75,271.97702
88.75,55.0,271.9795
88.75,56.25,271.9821
88.75,57.5,271.98447
88.75,58.75,271.98642
88.75,60.0,271.98807
88.75,61.25,271.9901
88.75,62.5,271.9922
88.75,63.75,271.9942
88.75,65.0,271.99637
88.75,66.25,271.9984
88.75,67.5,272.0004
88.75,68.75,272.0025
88.75,70.0,272.00443
88.75,71.25,272.00662
88.75,72.5,272.00827
88.75,73.75,272.00943
88.75,75.0,272.0105
88.75,76.25,272.01184
88.75,77.5,272.01294
88.75,78.75,272.0142
88.75,80.0,272.01538
88.75,81.25,272.01706
88.75,82.5,272.01865
88.75,83.75,272.02032
88.75,85.0,272.0217
88.75,86.25,272.02344
88.75,87.5,272.0242
88.75,88.75,272.025
88.75,90.0,272.02585
88.75,91.25,272.02652
88.75,92.5,272.02716
88.75,93.75,272.0281
88.75,95.0,272.02884
88.75,96.25,272.02954
88.75,97.5,272.03046
88.75,98.75,272.03122
88.75,100.0,272.03183
88.75,101.25,272.03403
88.75,102.5,272.0368
88.75,103.75,272.03937
88.75,105.0,272.04196
88.75,106.25,272.04465
88.75,107.5,272.04718
88.75,108.75,272.04987
88.75,110.0,272.05243
88.75,111.25,272.0552
88.75,112.5,272.0576
88.75,113.75,272.06033
88.75,115.0,272.0628
88.75,116.25,272.066
88.75,117.5,272.06946
88.75,118.75,272.07266
88.75,120.0,272.07587
88.75,121.25,272.07956
88.75,122.5,272.0833
88.75,123.75,272.08698
88.75,125.0,272.09058
88.75,126.25,272.0944
88.75,127.5,272.09818
88.75,128.75,272.10168
88.75,130.0,272.10504
88.75,131.25,272.10767
88.75,132.5,272.11026
88.75,133.75,272.1128
88.75,135.0,272.11536
88.75,136.25,272.11777
88.75,137.5,272.12045
88.75,138.75,272.12286
88.75,140.0,272.12558
88.75,141.25,272.12708
88.75,142.5,272.1283
88.75,143.75,272.1296
88.75,145.0,272.13
88.75,146.25,272.12985
88.75,147.5,272.1301
88.75,148.75,272.1301
88.75,150.0,272.12997
88.75,151.25,272.13007
88.75,152.5,272.12994
88.75,153.75,272.12994
88.75,155.0,272.12985
88.75,156.25,272.12997
88.75,157.5,272.13
88.75,158.75,272.12952
88.75,160.0,272.1285
88.75,161.25,272.1254
88.75,162.5,272.12238
88.75,163.75,272.11935
88.75,165.0,272.1162
88.75,166.25,272.11328
88.75,167.5,272.11008
88.75,168.75,272.1069
88.75,170.0,272.10388
88.75,171.25,272.1009
88.75,172.5,272.0979
88.75,173.75,272.09418
88.75,175.0,272.09027
88.75,176.25,272.08658
88.75,177.5,272.08267
88.75,178.75,272.07898
88.75,180.0,272.0751
88.75,181.25,272.07047
88.75,182.5,272.06577
88.75,183.75,272.06134
88.75,185.0,272.05673
88.75,186.25,272.052
88.75,187.5,272.04745
88.75,188.75,272.04358
88.75,190.0,272.03976
88.75,191.25,272.0358
88.75,192.5,272.03183
88.75,193.75,272.02786
88.75,195.0,272.02386
88.75,196.25,272.01996
88.75,197.5,272.0161
88.75,198.75,272.012
88.75,200.0,272.00815
88.75,201.25,272.00385
88.75,202.5,272.00058
88.75,203.75,271.9978
88.75,205.0,271.99493
88.75,206.25,271.99194
88.75,207.5,271.98904
88.75,208.75,271.9862
88.75,210.0,271.98334
88.75,211.25,271.98047
88.75,212.5,271.97763
88.75,213.75,271.97464
88.75,215.0,271.97192
88.75,216.25,271.969
88.75,217.5,271.96628
88.75,218.75,271.9635
88.75,220.0,271.9609
88.75,221.25,271.95782
88.75,222.5,271.95465
88.75,223.75,271.95163
88.75,225.0,271.94864
88.75,226.25,271.9455
88.75,227.5,271.94238
88.75,228.75,271.93948
88.75,230.0,271.93634
88.75,231.25,271.93237
88.75,232.5,271.92783
88.75,233.75,271.92322
88.75,235.0,271.91873
88.75,236.25,271.91412
88.75,237.5,271.90958
88.75,238.75,271.90506
88.75,240.0,271.9004
88.75,241.25,271.8954
88.75,242.5,271.8906
88.75,243.75,271.88556
88.75,245.0,271.88025
88.75,246.25,271.87335
88.75,247.5,271.86667
88.75,248.75,271.8598
88.75,250.0,271.85284
88.75,251.25,271.846
88.75,252.5,271.83917
88.75,253.75,271.83224
88.75,255.0,271.8254
88.75,256.25,271.81845
88.75,257.5,271.8117
88.75,258.75,271.80484
88.75,260.0,271.79623
88.75,261.25,271.7875
88.75,262.5,271.77872
88.75,263.75,271.76974
88.75,265.0,271.76105
88.75,266.25,271.7522
88.75,267.5,271.74313
88.75,268.75,271.73444
88.75,270.0,271.7257
88.75,271.25,271.7168
88.75,272.5,271.70804
88.75,273.75,271.6992
88.75,275.0,271.69067
88.75,276.25,271.68237
88.75,277.5,271.6737
88.75,278.75,271.66537
88.75,280.0,271.6569
88.75,281.25,271.6509
88.75,282.5,271.64505
88.75,283.75,271.63947
88.75,285.0,271.6336
88.75,286.25,271.62753
88.75,287.5,271.6218
88.75,288.75,271.61862
88.75,290.0,271.61707
88.75,291.25,271.61557
88.75,292.5,271.61417
88.75,293.75,271.6126
88.75,295.0,271.61124
88.75,296.25,271.60974
88.75,297.5,271.6081
88.75,298.75,271.60678
88.75,300.0,271.6053
88.75,301.25,271.60648
88.75,302.5,271.60797
88.75,303.75,271.61203
88.75,305.0,271.6158
88.75,306.25,271.6198
88.75,307.5,271.62354
88.75,308.75,271.6276
88.75,310.0,271.6315
88.75,311.25,271.63553
88.75,312.5,271.63956
88.75,313.75,271.64337
88.75,315.0,271.64725
88.75,316.25,271.65128
88.75,317.5,271.65558
88.75,318.75,271.66006
88.75,320.0,271.6648
88.75,321.25,271.67007
88.75,322.5,271.67545
88.75,323.75,271.6808
88.75,325.0,271.68607
88.75,326.25,271.69128
88.75,327.5,271.6967
88.75,328.75,271.70197
88.75,330.0,271.7073
88.75,331.25,271.71255
88.75,332.5,271.71823
88.75,333.75,271.72363
88.75,335.0,271.7293
88.75,336.25,271.7351
88.75,337.5,271.74048
88.75,338.75,271.7461
88.75,340.0,271.7517
88.75,341.25,271.75598
88.75,342.5,271.76028
88.75,343.75,271.76477
88.75,345.0,271.76898
88.75,346.25,271.77362
88.75,347.5,271.77835
88.75,348.75,271.783
88.75,350.0,271.78766
88.75,351.25,271.79233
88.75,352.5,271.79706
88.75,353.75,271.80182
88.75,355.0,271.80652
88.75,356.25,271.8112
88.75,357.5,271.81577
88.75,358.75,271.82047
87.5,0.0,271.55728
87.5,1.25,271.5686
87.5,2.5,271.5796
87.5,3.75,271.5908
87.5,5.0,271.60187
87.5,6.25,271.61307
87.5,7.5,271.62408
87.5,8.75,271.63516
87.5,10.0,271.64636
87.5,11.25,271.65417
87.5,12.5,271.6619
87.5,13.75,271.66953
87.5,15.0,271.67798
87.5,16.25,271.68668
87.5,17.5,271.69556
87.5,18.75,271.70435
87.5,20.0,271.71317
87.5,21.25,271.72244
87.5,22.5,271.73187
87.5,23.75,271.7412
87.5,25.0,271.7506
87.5,26.25,271.75995
87.5,27.5,271.76935
87.5,28.75,271.77863
87.5,30.0,271.78833
87.5,31.25,271.80045
87.5,32.5,271.81226
87.5,33.75,271.8244
87.5,35.0,271.8364
87.5,36.25,271.84848
87.5,37.5,271.86053
87.5,38.75,271.8726
87.5,40.0,271.88467
87.5,41.25,271.89554
87.5,42.5,271.90634
87.5,43.75,271.91663
87.5,45.0,271.92642
87.5,46.25,271.93622
87.5,47.5,271.94598
87.5,48.75,271.95584
87.5,50.0,271.96564
87.5,51.25,271.97192
87.5,52.5,271.97818
87.5,53.75,271.98477
87.5,55.0,271.9911
87.5,56.25,271.99753
87.5,57.5,272.00394
87.5,58.75,272.00912
87.5,60.0,272.01447
87.5,61.25,272.0199
87.5,62.5,272.0255
87.5,63.75,272.03116
87.5,65.0,272.03668
87.5,66.25,272.0422
87.5,67.5,272.04788
87.5,68.75,272.05353
87.5,70.0,272.05905
87.5,71.25,272.06827
87.5,72.5,272.07703
87.5,73.75,272.08514
87.5,75.0,272.093
87.5,76.25,272.10098
87.5,77.5,272.10895
87.5,78.75,272.11703
87.5,80.0,272.125
87.5,81.25,272.13144
87.5,82.5,272.13803
87.5,83.75,272.14453
87.5,85.0,272.15112
87.5,86.25,272.15765
87.5,87.5,272.16306
87.5,88.75,272.1683
87.5,90.0,272.17358
87.5,91.25,272.17285
87.5,92.5,272.1721
87.5,93.75,272.17114
87.5,95.0,272.17044
87.5,96.25,272.1695
87.5,97.5,272.1687
87.5,98.75,272.16788
87.5,100.0,272.16718
87.5,101.25,272.166
87.5,102.5,272.16556
87.5,103.75,272.16507
87.5,105.0,272.1646
87.5,106.25,272.16428
87.5,107.5,272.1638
87.5,108.75,272.1635
87.5,110.0,272.16293
87.5,111.25,272.167
87.5,112.5,272.171
87.5,113.75,272.17523
87.5,115.0,272.1793
87.5,116.25,272.1842
87.5,117.5,272.18918
87.5,118.75,272.19452
87.5,120.0,272.19943
87.5,121.25,272.2052
87.5,122.5,272.21118
87.5,123.75,272.21698
87.5,125.0,272.2229
87.5,126.25,272.22873
87.5,127.5,272.23434
87.5,128.75,272.24017
87.5,130.0,272.24557
87.5,131.25,272.24478
87.5,132.5,272.24384
87.5,133.75,272.24292
87.5,135.0,272.2421
87.5,136.25,272.2412
87.5,137.5,272.24023
87.5,138.75,272.23944
87.5,140.0,272.2386
87.5,141.25,272.23566
87.5,142.5,272.23273
87.5,143.75,272.2298
87.5,145.0,272.22525
87.5,146.25,272.22003
87.5,147.5,272.21503
87.5,148.75,272.21002
87.5,150.0,272.2051
87.5,151.25,272.20413
87.5,152.5,272.2031
87.5,153.75,272.20203
87.5,155.0,272.20108
87.5,156.25,272.1999
87.5,157.5,272.19882
87.5,158.75,272.19733
87.5,160.0,272.19473
87.5,161.25,272.19583
87.5,162.5,272.19687
87.5,163.75,272.19806
87.5,165.0,272.19913
87.5,166.25,272.2
87.5,167.5,272.20114
87.5,168.75,272.20224
87.5,170.0,272.2033
87.5,171.25,272.2012
87.5,172.5,272.19904
87.5,173.75,272.19592
87.5,175.0,272.19266
87.5,176.25,272.18948
87.5,177.5,272.18622
87.5,178.75,272.18286
87.5,180.0,272.1797
87.5,181.25,272.17215
87.5,182.5,272.1646
87.5,183.75,272.15723
87.5,185.0,272.1498
87.5,186.25,272.14224
87.5,187.5,272.13516
87.5,188.75,272.1287
87.5,190.0,272.12213
87.5,191.25,272.1163
87.5,192.5,272.11026
87.5,193.75,272.10428
87.5,195.0,272.09842
87.5,196.25,272.09225
87.5,197.5,272.08633
87.5,198.75,272.08026
87.5,200.0,272.0744
87.5,201.25,272.07147
87.5,202.5,272.06992
87.5,203.75,272.0689
87.5,205.0,272.0679
87.5,206.25,272.06686
87.5,207.5,272.0659
87.5,208.75,272.06497
87.5,210.0,272.06403
87.5,211.25,272.06107
87.5,212.5,272.05838
87.5,213.75,272.05557
87.5,215.0,272.05273
87.5,216.25,272.05005
87.5,217.5,272.0474
87.5,218.75,272.04483
87.5,220.0,272.04218
87.5,221.25,272.03247
87.5,222.5,272.02286
87.5,223.75,272.013
87.5,225.0,272.00336
87.5,226.25,271.99368
87.5,227.5,271.984
87.5,228.75,271.9742
87.5,230.0,271.9647
87.5,231.25,271.9512
87.5,232.5,271.9372
87.5,233.75,271.92337
87.5,235.0,271.9094
87.5,236.25,271.89523
87.5,237.5,271.88132
87.5,238.75,271.86722
87.5,240.0,271.8534
87.5,241.25,271.84576
87.5,242.5,271.83856
87.5,243.75,271.83124
87.5,245.0,271.8234
87.5,246.25,271.81326
87.5,247.5,271.80313
87.5,248.75,271.793
87.5,250.0,271.78268
87.5,251.25,271.77744
87.5,252.5,271.77228
87.5,253.75,271.76712
87.5,255.0,271.7619
87.5,256.25,271.75665
87.5,257.5,271.75137
87.5,258.75,271.74612
87.5,260.0,271.73853
87.5,261.25,271.72485
87.5,262.5,271.71118
87.5,263.75,271.6975
87.5,265.0,271.6838
87.5,266.25,271.66995
87.5,267.5,271.65634
87.5,268.75,271.64255
87.5,270.0,271.62888
87.5,271.25,271.6095
87.5,272.5,271.59024
87.5,273.75,271.57117
87.5,275.0,271.55243
87.5,276.25,271.5336
87.5,277.5,271.5149
87.5,278.75,271.496
87.5,280.0,271.47736
87.5,281.25,271.46112
87.5,282.5,271.44492
87.5,283.75,271.42865
87.5,285.0,271.4125
87.5,286.25,271.3963
87.5,287.5,271.38
87.5,288.75,271.3677
87.5,290.0,271.35794
87.5,291.25,271.35278
87.5,292.5,271.34763
87.5,293.75,271.34244
87.5,295.0,271.33743
87.5,296.25,271.33228
87.5,297.5,271.32724
87.5,298.75,271.322
87.5,300.0,271.31696
87.5,301.25,271.31036
87.5,302.5,271.30426
87.5,303.75,271.30173
87.5,305.0,271.29922
87.5,306.25,271.2969
87.5,307.5,271.29425
87.5,308.75,271.29187
87.5,310.0,271.2895
87.5,311.25,271.28427
87.5,312.5,271.2792
87.5,313.75,271.2743
87.5,315.0,271.2693
87.5,316.25,271.26413
87.5,317.5,271.25974
87.5,318.75,271.25577
87.5,320.0,271.25165
87.5,321.25,271.25214
87.5,322.5,271.25256
87.5,323.75,271.253
87.5,325.0,271.2534
87.5,326.25,271.2538
87.5,327.5,271.25424
87.5,328.75,271.25464
87.5,330.0,271.25528
87.5,331.25,271.26398
87.5,332.5,271.2731
87.5,333.75,271.28192
87.5,335.0,271.29117
87.5,336.25,271.30026
87.5,337.5,271.3095
87.5,338.75,271.31854
87.5,340.0,271.32767
87.5,341.25,271.342
87.5,342.5,271.3562
87.5,343.75,271.37064
87.5,345.0,271.3848
87.5,346.25,271.39935
87.5,347.5,271.41415
87.5,348.75,271.42902
87.5,350.0,271.44376
87.5,351.25,271.45792
87.5,352.5,271.47226
87.5,353.75,271.48642
87.5,355.0,271.50058
87.5,356.25,271.51483
87.5,357.5,271.529
87.5,358.75,271.54315
86.25,0.0,271.3856
86.25,1.25,271.4051
86.25,2.5,271.4247
86.25,3.75,271.44427
86.25,5.0,271.46384
86.25,6.25,271.48343
86.25,7.5,271.50302
86.25,8.75,271.52274
86.25,10.0,271.5383
86.25,11.25,271.54956
86.25,12.5,271.56128
86.25,13.75,271.57294
86.25,15.0,271.5844
86.25,16.25,271.59586
86.25,17.5,271.60742
86.25,18.75,271.61777
86.25,20.0,271.62704
86.25,21.25,271.63675
86.25,22.5,271.64648
86.25,23.75,271.65628
86.25,25.0,271.66592
86.25,26.25,271.67584
86.25,27.5,271.6865
86.25,28.75,271.69855
86.25,30.0,271.7106
86.25,31.25,271.72446
86.25,32.5,271.73853
86.25,33.75,271.7524
86.25,35.0,271.76648
86.25,36.25,271.78122
86.25,37.5,271.7995
86.25,38.75,271.8177
86.25,40.0,271.83594
86.25,41.25,271.8532
86.25,42.5,271.8704
86.25,43.75,271.88745
86.25,45.0,271.9048
86.25,46.25,271.92148
86.25,47.5,271.9384
86.25,48.75,271.95508
86.25,50.0,271.972
86.25,51.25,271.98584
86.25,52.5,271.99954
86.25,53.75,272.01343
86.25,55.0,272.02066
86.25,56.25,272.02603
86.25,57.5,272.03156
86.25,58.75,272.0367
86.25,60.0,272.04224
86.25,61.25,272.04797
86.25,62.5,272.05374
86.25,63.75,272.0591
86.25,65.0,272.064
86.25,66.25,272.06885
86.25,67.5,272.0737
86.25,68.75,272.07877
86.25,70.0,272.08368
86.25,71.25,272.09174
86.25,72.5,272.10272
86.25,73.75,272.1182
86.25,75.0,272.13376
86.25,76.25,272.14902
86.25,77.5,272.1644
86.25,78.75,272.17984
86.25,80.0,272.1952
86.25,81.25,272.209
86.25,82.5,272.22147
86.25,83.75,272.23407
86.25,85.0,272.2465
86.25,86.25,272.259
86.25,87.5,272.2715
86.25,88.75,272.284
86.25,90.0,272.29648
86.25,91.25,272.29364
86.25,92.5,272.2909
86.25,93.75,272.28818
86.25,95.0,272.2854
86.25,96.25,272.28265
86.25,97.5,272.27985
86.25,98.75,272.277
86.25,100.0,272.2728
86.25,101.25,272.26746
86.25,102.5,272.26196
86.25,103.75,272.25665
86.25,105.0,272.2511
86.25,106.25,272.2458
86.25,107.5,272.24042
86.25,108.75,272.2381
86.25,110.0,272.23816
86.25,111.25,272.24216
86.25,112.5,272.2459
86.25,113.75,272.24982
86.25,115.0,272.25372
86.25,116.25,272.25735
86.25,117.5,272.26157
86.25,118.75,272.26614
86.25,120.0,272.27048
86.25,121.25,272.2759
86.25,122.5,272.2808
86.25,123.75,272.28604
86.25,125.0,272.2912
86.25,126.25,272.29565
86.25,127.5,272.29755
86.25,128.75,272.29944
86.25,130.0,272.30124
86.25,131.25,272.29877
86.25,132.5,272.2963
86.25,133.75,272.2939
86.25,135.0,272.29126
86.25,136.25,272.289
86.25,137.5,272.2869
86.25,138.75,272.28464
86.25,140.0,272.28238
86.25,141.25,272.2785
86.25,142.5,272.2745
86.25,143.75,272.27042
86.25,145.0,272.26855
86.25,146.25,272.26703
86.25,147.5,272.26572
86.25,148.75,272.2641
86.25,150.0,272.26273
86.25,151.25,272.26483
86.25,152.5,272.26672
86.25,153.75,272.26974
86.25,155.0,272.27344
86.25,156.25,272.2771
86.25,157.5,272.2807
86.25,158.75,272.28433
86.25,160.0,272.28796
86.25,161.25,272.29495
86.25,162.5,272.30063
86.25,163.75,272.3052
86.25,165.0,272.30966
86.25,166.25,272.314
86.25,167.5,272.31842
86.25,168.75,272.32272
86.25,170.0,272.32718
86.25,171.25,272.3277
86.25,172.5,272.3239
86.25,173.75,272.32034
86.25,175.0,272.31628
86.25,176.25,272.31253
86.25,177.5,272.3087
86.25,178.75,272.30508
86.25,180.0,272.3013
86.25,181.25,272.292
86.25,182.5,272.28284
86.25,183.75,272.27344
86.25,185.0,272.2642
86.25,186.25,272.255
86.25,187.5,272.2458
86.25,188.75,272.23642
86.25,190.0,272.2275
86.25,191.25,272.2191
86.25,192.5,272.2107
86.25,193.75,272.20212
86.25,195.0,272.1938
86.25,196.25,272.1853
86.25,197.5,272.17657
86.25,198.75,272.17072
86.25,200.0,272.1663
86.25,201.25,272.16446
86.25,202.5,272.16235
86.25,203.75,272.1605
86.25,205.0,272.15866
86.25,206.25,272.15668
86.25,207.5,272.1564
86.25,208.75,272.1585
86.25,210.0,272.16058
86.25,211.25,272.1611
86.25,212.5,272.1616
86.25,213.75,272.16214
86.25,215.0,272.16275
86.25,216.25,272.16196
86.25,217.5,272.15622
86.25,218.75,272.15042
86.25,220.0,272.14484
86.25,221.25,272.13284
86.25,222.5,272.12112
86.25,223.75,272.10907
86.25,225.0,272.09735
86.25,226.25,272.07623
86.25,227.5,272.05527
86.25,228.75,272.0344
86.25,230.0,272.0135
86.25,231.25,271.99078
86.25,232.5,271.96802
86.25,233.75,271.94528
86.25,235.0,271.92386
86.25,236.25,271.90292
86.25,237.5,271.88193
86.25,238.75,271.86102
86.25,240.0,271.8401
86.25,241.25,271.8248
86.25,242.5,271.80954
86.25,243.75,271.79633
86.25,245.0,271.78445
86.25,246.25,271.7727
86.25,247.5,271.76077
86.25,248.75,271.7489
86.25,250.0,271.73706
86.25,251.25,271.7295
86.25,252.5,271.71915
86.25,253.75,271.7045
86.25,255.0,271.6899
86.25,256.25,271.67526
86.25,257.5,271.66055
86.25,258.75,271.64606
86.25,260.0,271.63138
86.25,261.25,271.6115
86.25,262.5,271.5873
86.25,263.75,271.56277
86.25,265.0,271.53848
