Date,Temperature maximale
2017-01-01,-0.8939574956893921
2017-01-02,-1.531439185142517
2017-01-03,-1.737829566001892
2017-01-04,-0.24069824814796448
2017-01-05,-0.7917541265487671
2017-01-06,-7.945715427398682
2017-01-07,-8.463476181030273
2017-01-08,-12.227209091186523
2017-01-09,-10.990545272827148
2017-01-10,-4.233892917633057
2017-01-11,1.555017113685608
2017-01-12,0.5259643793106079
2017-01-13,0.7463623285293579
2017-01-14,-10.604528427124023
2017-01-15,-7.142279148101807
2017-01-16,-2.3322205543518066
2017-01-17,-1.466040015220642
2017-01-18,-1.804296851158142
2017-01-19,0.16414794325828552
2017-01-20,-0.6994079351425171
2017-01-21,0.16488036513328552
2017-01-22,0.2929321229457855
2017-01-23,-0.20038452744483948
2017-01-24,-1.250646948814392
2017-01-25,-0.08127441257238388
2017-01-26,0.24559935927391052
2017-01-27,-0.6962646245956421
2017-01-28,-1.292059302330017
2017-01-29,-1.428625464439392
2017-01-30,-5.084326267242432
2017-01-31,-7.328283786773682
2017-02-01,-4.581274509429932
2017-02-02,-5.066687107086182
2017-02-03,-6.683874607086182
2017-02-04,-5.131201267242432
2017-02-05,-1.688391089439392
2017-02-06,-1.996191382408142
2017-02-07,-7.520727634429932
2017-02-08,-0.09628906100988388
2017-02-09,-8.713415145874023
2017-02-10,-12.106664657592773
2017-02-11,-8.468297958374023
2017-02-12,-3.9109559059143066
2017-02-13,-2.5513672828674316
2017-02-14,-1.111486792564392
2017-02-15,-1.559210181236267
2017-02-16,-0.7926391363143921
2017-02-17,-2.6411194801330566
2017-02-18,-0.22470703721046448
2017-02-19,0.8542114496231079
2017-02-20,-0.02808227576315403
2017-02-21,-0.10623779147863388
2017-02-22,1.972253441810608
2017-02-23,2.2799925804138184
2017-02-24,1.549462914466858
2017-02-25,2.0912413597106934
2017-02-26,2.5288939476013184
2017-02-27,1.906213402748108
2017-02-28,2.1484007835388184
2017-03-01,1.568627953529358
2017-03-02,1.407708764076233
2017-03-03,-7.213720798492432
2017-03-04,-10.912939071655273
2017-03-05,-8.177099227905273
2017-03-06,-2.9169678688049316
2017-03-07,0.7215820550918579
2017-03-08,4.345208644866943
2017-03-09,1.866174340248108
2017-03-10,-4.093054294586182
2017-03-11,-8.734167098999023
2017-03-12,-12.359594345092773
2017-03-13,-7.599218845367432
2017-03-14,-4.314550876617432
2017-03-15,-3.8355774879455566
2017-03-16,-4.720800876617432
2017-03-17,-2.2070069313049316
2017-03-18,-1.116674780845642
2017-03-19,-0.9131835699081421
2017-03-20,-0.3592285215854645
2017-03-21,1.756524682044983
2017-03-22,-1.073522925376892
2017-03-23,-1.143164038658142
2017-03-24,-0.08139648288488388
2017-03-25,0.5887085199356079
2017-03-26,0.08406982570886612
2017-03-27,0.9267212152481079
2017-03-28,1.694024682044983
2017-03-29,1.544885277748108
2017-03-30,4.527276515960693
2017-03-31,1.147180199623108
2017-04-01,1.187524437904358
2017-04-02,6.829492092132568
2017-04-03,8.225000381469727
2017-04-04,4.470117092132568
2017-04-05,6.661645412445068
2017-04-06,4.692559719085693
2017-04-07,5.752160549163818
2017-04-08,5.474267482757568
2017-04-09,15.598474502563477
2017-04-10,22.891626358032227
2017-04-11,18.177392959594727
2017-04-12,14.055444717407227
2017-04-13,12.360376358032227
2017-04-14,13.841150283813477
2017-04-15,17.380823135375977
2017-04-16,18.388696670532227
2017-04-17,14.984766006469727
2017-04-18,8.362451553344727
2017-04-19,9.705102920532227
2017-04-20,12.717798233032227
2017-04-21,10.833337783813477
2017-04-22,8.455438613891602
2017-04-23,16.284204483032227
2017-04-24,11.483087539672852
2017-04-25,16.832605361938477
2017-04-26,13.558740615844727
2017-04-27,25.945398330688477
2017-04-28,22.640161514282227
2017-04-29,16.697290420532227
2017-04-30,12.233697891235352
2017-05-01,11.887475967407227
2017-05-02,16.133386611938477
2017-05-03,12.050439834594727
2017-05-04,16.3662052154541
2017-05-05,10.833917617797852
2017-05-06,21.216089248657227
2017-05-07,17.9938907623291
2017-05-08,7.835107326507568
2017-05-09,7.117364406585693
2017-05-10,11.611780166625977
2017-05-11,15.488489151000977
2017-05-12,18.497583389282227
2017-05-13,18.099512100219727
2017-05-14,14.506860733032227
2017-05-15,17.4587345123291
2017-05-16,20.649438858032227
2017-05-17,27.890344619750977
2017-05-18,29.187646865844727
2017-05-19,25.15288734436035
2017-05-20,16.035303115844727
2017-05-21,18.16301918029785
2017-05-22,15.276758193969727
2017-05-23,19.6057071685791
2017-05-24,21.947168350219727
2017-05-25,20.156152725219727
2017-05-26,15.415430068969727
2017-05-27,20.763818740844727
2017-05-28,22.886865615844727
2017-05-29,19.849573135375977
2017-05-30,21.745996475219727
2017-05-31,21.471582412719727
2017-06-01,17.482141494750977
2017-06-02,12.918115615844727
2017-06-03,13.723535537719727
2017-06-04,20.598047256469727
2017-06-05,16.943506240844727
2017-06-06,14.847955703735352
2017-06-07,24.155176162719727
2017-06-08,25.731836318969727
2017-06-09,24.487207412719727
2017-06-10,24.864648818969727
2017-06-11,28.639551162719727
2017-06-12,30.344141006469727
2017-06-13,27.576807022094727
2017-06-14,22.540185928344727
2017-06-15,22.085596084594727
2017-06-16,22.008935928344727
2017-06-17,28.391992568969727
2017-06-18,31.462549209594727
2017-06-19,28.023828506469727
2017-06-20,24.556543350219727
2017-06-21,20.287988662719727
2017-06-22,23.162988662719727
2017-06-23,26.055810928344727
2017-06-24,24.313379287719727
2017-06-25,21.059961318969727
2017-06-26,19.770654678344727
2017-06-27,19.562158584594727
2017-06-28,21.505273818969727
